title,audio,lyrics
OTVORTE/KU ŠENKU,,"KU ŠENKU, KU ŠENKU, MA MOJA MILÁ VOLÁ
KU ŠENKU, KU ŠENKU, MA MOJA MILÁ VOLÁ
VOLÁ, VOLÁ, VOLÁ ALE NEPOZÝVA
MOJA MÁ, DUŠA MÁ, NEMAJ MA ZA VOLA."
ČO SA TO DEJE,,"ČO SA TO DEJE,
ČO SA TO PROSÍM VÁS DEJE
ŽE TAKÁ BANDA PUNKÁČOV
STOJÍ PRED ZAVRETOU KRČMOU
PREČO TU STOJÍTE
NAČO TU TAK STÁLE ČAKÁTE
KÝM VÁM NIEKTO OTVORÍ
TIE KRČMOVÉ DVERE OTVORÍ
NA SCHODOCH SEDÍME
VŠADE NA VÔKOL SÚ SMUTNÉ TVÁRE
VŠETCI LEN DÚFAJÚ
ŽE HELENKU V DIAĽKE ZBADAJÚ
JEDEN Z NÁS KRIČÍ
HELENKA SA K NÁM BLÍŽI
ZAVLÁDLA SKVELÁ NÁLADA
PIŤ A HRAŤ SA BUDE AŽ DO RÁNA
OTVORTE OTVORE TAK NÁM PROSÍM DVERE OTVORTE
OTVORTE OTVORTE A DOBRÉ PIVO NÁM NALEJTE
HELENKE SA KONČÍ NOČNÁ
KRIČÍ JE TU ZÁVEREČNÁ
VŠETCI MÁME SKLONENÉ HLAVY
ALE TO VÔBEC NEVADÍ
VEĎ ZAJTRA SA TU ZNOVA, ZNOVA STRETNEME
A BUDEME BÚCHAŤ NA TIE KRČMOVÉ DVERE"
ČONGO BONGO,,"KONČÍ SA ZIMA A JE VÄČŠIE TEPLO
VO VZDUCHU CÍTIŤ ŽE PRICHÁDZA LETO
UŽ SA TEŠÍM AKO VYBEHNEME NA LÚKY
A TAK CHYTÁM SVOJU ŠPANIELKU DO RUKY
DO RUKY!
ZVUKY BONGA ZNEJÚ TAK FAJN PO TRÁVE
SKVELÉ MYŠLIENKY NAPADAJÚ MA V MOJEJ HLAVE
V MOJEJ HLAVE!
TO JE TEN ČAS KEĎ PRICHÁDZA MEDZI NÁS
TO JE TEN ČAS KEĎ ČONGO BONGO V HLAVE MÁŠ
ČONGO BONGO, ČONGO BONGO, ČONGO BONGO,
ČONGO BONGO, ČONGO BONGO, ČONGO BONGO!
OPÄŤ VO VZDUCHU CÍTIŤ ZIMU
PRÍRODA SA CHYSTÁ ZNIČIŤ ĽUDSKÚ ŠPINU
DÚFAJME ŽE SA DOŽIJEME DO JARI
A BUDEME UŽÍVAŤ TIETO ZEMSKÉ DARY
ZEMSKÉ DARY!
OUTRO : ČONGO ŤA NAUČÍ AKO SA LIETA
A BONGO TI UKÁŽE KUS ZO ŽIVOTA!"
POZVEM ŤA NA JEDNO,,"STÁLE ROZMÝŠĽAM NAD TÝM
ŽE AKO ŤA POTEŠÍM
POZVEM ŤA NA JEDNO DO KRČMY
NO TY MUSÍŠ BYŤ Z RODIČMI
ŽE TY TAKÉ VECI NEMUSÍŠ
NO MNE SA PRETO NEZHNUSÍŠ
CHCEŠ VEDIEŤ ČO VLASTNE CHCEM
RÁD TI NA TO ODPOVIEM
JA CHCEM IBA JEDINÉ
TO POSEDIEŤ S TEBOU PRI PIVE
ZLÍZAŤ PENU Z TVOJICH PIER,
TAK SA PROSÍM ŤA STÝM ZMIER
TAK ČAKÁM KEĎ POVIEŠ: „ POĎ VON, POZÝVAM.""
A Z MOJÍCH ÚST ZAZNIE LEN: „ JASNÉ LEN SA OBLEČIEM.""
TAK SI TO PREMYSLI A NEVRAV MI TAKÉ NEZMYSLY
CHCEŠ VEDIEŤ ČO VLASTNE CHCEM RÁD TI NA TO ODPOVIEM
GABA
V MESTE KTORÉ JE NA HORNEJ ORAVE
MESTO KTORÉ JE CELKOM CELKOM MALE
ŽIJE TAM KRÁSNA ŽENA
VOLÁME JU GABRIELA
KAŽDÝ PIATOK SA V MESTE STRETÁVAME
A POTOM TAM U KONA POPÍJAME
GABA SI VIE SVOJ ŽIVOT UŽÍVAŤ
CHCEL BY SOM JEJ ASPON PUSU DAŤ
GABA SA MI VEĽMI PÁČI ALE TO MI ENSTAČÍ
S GABOU JE ŽIVOT ÚPLNE SKVELÝ
NA GABE SA NIČ ALE VÔBEC NIČ NEMENÍ!
GABA GABA HEJ HEJ"
KAČIČKA,,"ĽAHNEM SI DO VODY
NA MOJU MADRAČKU
ZO SEBOU SI VEZMEM
AJ GUMENÚ KAČKU
KAČKA ROBÍ KVAKY KVAK
KAČKA ROBÍ KVAKY KVAK
KAČKA ROBÍ KVAKY KVAK
BOHA NADOMNOU JE MRAK
PLÁVA KAČKA PO JAZERE\
VO VODE SI ŠATY PERIE\
RYBKY SEM A RYBKY TAM\
JA VÁS VŠETKY POCHYTÁM\
\
PRIŠIEL KÁČER, ŤAPI, ŤAPI\
DO ZOBÁČKA RYBKU LAPÍ\
UKLÁŇA SA KRÁSAVEC\
VYZVAL KAČKU NA TANEC
POĎTE PO MŇA
POĎTE PO MŇA
POĎTE PO MŇA
POĎTE PO MŇA"
SEDÍM DOMA,,"SEDÍM DOMA
A MOJA ŽENA MA NECHCE PUSTIŤ DO KOŇA
POĎTE PO MŇA
POĎTE PO MŇA
POĎTE PO MŇA
BEŽÍM DO KOŇA
A TAK UŽ BEŽÍM
A SÁM SEBA VIDÍM AKO POD STOLOM LEŽÍM
POĎTE PO MŇA
POĎTE PO MŇA
POĎTE PO MŇA
SCHOVAJTE MA!
MOJA ŽENA IDE PO MŇA DO KOŇA
ŽEVRAJ MÁM BYŤ UŽ DÁVNO DOMA
POĎTE PO MŇA
POĎTE PO MŇA
JA CHCEM ÍSŤ NASPÄŤ DO KOŇA!"
ALFONZ,,"NA STAROM HRDZAVOM KOŠI
TAM HO NAŠLI JEHO NOVÝ KÁMOŠI
LEŽAL TAM ŠPINAVÝ, OPUSTENÝ SÁM
TO EŠTE NETUŠIL
ŽE SI S NÍM PIVO DÁM
ZAPADOL HNEĎ DO NAŠEJ PARTIE
VYSEDÁVA S NAMI KAŽDÝ PIATOK NA PIVE
KONEČNE DOSIAHOL ČO V ŽIVOTE CHCEL
A STAL SA Z NEHO PUNKOVÝ REBEL!
NA STAROM HRDZAVOM KOŠI
TAM HO NAŠLI JEHO NOVÝ KÁMOŠI
LEŽAL TAM ZABUDNUTÝ, ŠPINAVÝ A SÁM
TO EŠTE NETUŠIL
ŽE SI S NÍM PIVO DÁM
A TAK ROKY BEŽIA NO ON SI ĎALEJ ŽIVOT UŽÍVA
A TAK DOSIAHOL ČO V ŽIVOTE CHCEL
A STAL SA Z NEHO PUNKOVÝ REBEL!
ALFONZ -- NÁŠ MODRÝ MEDVEĎ
ALFONZ -- VŽDY TI DÁ VEDIEŤ
ALFONZ -- ŽE SA NIEČO CHYSTÁ
ALFONZ -- S NÍM JE SRANDA ISTÁ"
BABÍNČAN,,"PRIŽENIŤ SA DO BABÍNA
PRERÁBAŤ DOM
JE PORIADNA KOKOTINA
SVOKRA PINDA
ŽENA PINDA
SVOKOR PINDA
ČO JE TOTO ZA RODINA
ŽEVRAJ NIE SOM DOBRÝ ZAŤ
NA TO JA VÁM MÔŽEM SRAŤ
JA CHCEM MAŤ LEN SVOJ KĽUD
A NA OSTATNÉ MÔŽEM PĽUŤ
NEBUDEM SA TU DRAŤ JEDINÝ
UŽ MÁM Z TOHO ŠEDINY
AJ TAK JE TO MOJA VINA
ČO JE TOTO ZA RODINA
SVOKRA PINDA
ŽENA PINDA
SVOKOR PINDA
ČO JE TOTO ZA RODINA"
CHULIGÁN,,"NEZNÁŠAM ODBORNÉ SLOVÁ
PAMÄTAŤ SI CIH TO MI TRVÁ
SKÚŠAM TO ZAS A ZNOVA
VŽDYCKY MA TO NEJAK ZDOLÁ
NAJRADŠEJ MÁM VULGÁRNE SLOVÁ
NIEJE TO PRE MŇA VEC NOVÁ
NADÁVAŤ V KRČME S POZA STOLA
TAK TO TO JE VÍZIA MOJA
OSTÁVAM NAVŽDY VULGÁRNY CHULIGÁN
PRI PIVE S BANDOU NA VŠETKÝCH NADÁVAM
NECHCEM BYŤ PRÁVNIK ANI POLITIK
NEMUSÍM SA VEDIEŤ ODBORNE VYJADRIŤ
NEPOZERÁM VEČER SPRÁVY
KEĎ TO VIDÍM SOM BEZ NÁLADY
RÁDIO SI NENALADÍM
POČÚVAŤ SRAČKY TO MI VADÍ
POZERÁM RADŠEJ NA PEKNÉ BABY
NA TO ČO MAJÚ POD ŠATAMI
NA PORIADNY PUNK SI PRELADÍM (CLASH MA DOSTATNE DO NÁLADY)
TAKTO MA TO TEDA BAVÍ"
NAMOL 2,,"KDE TO SOM
A JAK SOM SA SEM DOSTAL
A KDE JE MILAN
ČO TU SO MNOU CHLASTAL
A TAK KONTROLUJEM
VŠETKY SVOJE CENNOSTI
PEŇAŽENKU, KĽÚČE
A INÉ BLBOSTI
MOBIL SAMOZREJME
JE BEZ ZNÁMKY ŽIVOTA
V PEŇAŽENKE ZÍVA
HLBOKÁ PRÁZDNOTA
VYZERÁ TO TAK
ŽE NIČ MI NECHÝBA
LEN KEBY V HLAVE
HUČANIE ZAČÍNA
HUBA SUCHÁ
NIEČO DOBRÉ BY SOM SI DAL
LEN KEBY TU BOL TEN BARMAN
ČO TO DO MŇA LIAL
KDE TO SOM A KAM IDEM
TO NEVIEM, AJ TAK TAM NEPRÍDEM
01 HANBA
02 GRASS
03 HEBOJ POGOVAŤ
05 KORUNY NA PÁĽENKU
06 PÁĽENKA
07 OIOIOI
08 PIVNÉ REGE
09 ZIMNÁ
10 ROCK´N´ROLL
11 PUNKOVÝ VÝLET
12 KU ŠENKU
13 OTVORTE
14 ČONGO BONGO
14.POZVEM ŤA NA JEDNO
15.GABA
16.KAČIČKA
17.POĎTE PO MŇA
18.ALFONZ
19.BABÍNČAN
20 CHULIGÁN
21 NAMOL 2"
